Topic,Count,Name,Representation,Representative_Docs
-1,108,-1_freeschlep_nish_que_oknjinjnj,"['freeschlep', 'nish', 'que', 'oknjinjnj', 'rammstein', 'vdeos', 'tn', 'uhhbygtfvfcdffvghh', 'tout', 'robloxsumuza']","['necesito que estos vídeos tengan subtitulos a español :(', '“Wosh nish nish” -rammstein', 'haruss sama vtuber indo jg sih ini, bnyk kek pedofil']"
0,3162,0_roblox_to_and_for,"['roblox', 'to', 'and', 'for', 'you', 'is', 'of', 'they', 'kids', 'this']","['Schlep, thank you for protecting kids on roblox, a game that they thought was safe. You are a reason that is starting to make roblox more safe', ""I think the police should just arrest David Baszucki and be replaced with a better CEO, A CEO WHO ACTUALLY CARES ABOUT CHILD SAFETY!!!! I loved the classic times of Roblox when I was in elementary school. Nowadays, it's just bad updates. Friends to Connections, new dating, and now David is banning AND SUING the people who are catching the predators, PEOPLE WHO ARE SAVING KIDS FROM DANGER, THESE ARE MINORS WE ARE TALKING ABOUT!!!!!! I HAVE A LITTLE SISTER WHO'S FIVE AND SHE PLAYS ROBLOX!!!! (hopefully she isn't online dating anyone, especially for a little kid that young). MONEY IS NOT ALWAYS THE BEST FOR EVERYONE!!! (I'm only mentioning that because I think Roblox is allowing this because of a stupid cash grab, ROBLOX HAS BILLIONS OF DOLLARS YOU KNOW THERE ARE ACTUALLY PEOPLE WHO ARE FINANCIALLY STRUGGLING). ROBLOX NEEDS TO IMPROVE. Schlep and JiDion are the heroes and shouldn't have been punished. And I'm really sorry to hear Schlep got IP banned, I hope Roblox unbans you cuz you and JiDion deserve credit for saving little children from these predators."", 'I actually think it is insane that a multi-billion dollar company that not only still allows these condo discord servers to be up and running but also does not take the topic of Roblox e dating predators seriously even though they can face extreme legal trouble for neglecting the topic. So much that their negligence to the topic can be considered contributing to all the things that happen to these minors (d3ath, r4pe, grooming, etc.) And yet they not only ban the\n man who is doing more work \n to protect minors then Roblox has ever done, but send a cease and desist letter specifically telling him to basically neglect the topic of the predators. \n(Also yes Roblox is responsible for the condo servers, not only are they partnered with discord, therefore allowing them to have some power to ban these servers, but they also have the legality to step in and take action against even if they weren’t partnered. It’s the same as Nintendo suing people for using there game for non Nintendo produced games. These individuals are making servers for horny Roblox users to connect, and meet for games that already don’t follow the terms of service on Roblox’s side, but also these servers don’t require you to be 18+, as seen in no text to speech’s video. Also I forgot to mention the ROBLOX GAMES are still up. They aren’t even taking any accountability for THEIR OWN PLATFORM. They also added a dating feature, which you do need your id, but many kids either have access or know where their parents wallets or Ids are. Them adding the dating feature in the middle of the controversy with schlep is the same effectiveness as pointing a laser into a mirror. As if they thought anyone would be on their side or they could start gaining trust, they added something that just takes away the need for condo servers, their thought process was probably “Why not just add a breeding ground for predators on our own platform! Now we have full responsibility for all the things that happen to minors!” As if they already didn’t have responsibility for the predators on other platforms that they don’t even own.']"
1,2353,1_baba_bro_he_math,"['baba', 'bro', 'he', 'math', 'is', 'the', 'that', 'what', 'this', 'was']","['the predator saying how he thought the decoy was a cop and continued to do this anyway is crazy \n💀\n\nalso roblox predator being math teacher at 14:42 was wild', 'For those who don\'t know\r\n\r\nThe F-16 Fighting Falcon is a compact, multi-role fighter aircraft. It is highly maneuverable and has proven itself in air-to-air combat and air-to-surface attack. It provides a relatively low-cost, high-performance weapon system for the United States and allied nations.\r\n\r\nIn an air combat role, the F-16\'s maneuverability and combat radius (distance it can fly to enter air combat, stay, fight and return) exceed that of all potential threat fighter aircraft. It can locate targets in all weather conditions and detect low flying aircraft in radar ground clutter. In an air-to-surface role, the F-16 can fly more than 500 miles (860 kilometers), deliver its weapons with superior accuracy, defend itself against enemy aircraft, and return to its starting point. An all-weather capability allows it to accurately deliver ordnance during non-visual bombing conditions.\r\n\r\nIn designing the F-16, advanced aerospace science and proven reliable systems from other aircraft such as the F-15 and F-111 were selected. These were combined to simplify the airplane and reduce its size, purchase price, maintenance costs and weight. The light weight of the fuselage is achieved without reducing its strength. With a full load of internal fuel, the F-16 can withstand up to nine G\'s -- nine times the force of gravity -- which exceeds the capability of other current fighter aircraft.\r\n\r\nThe cockpit and its bubble canopy give the pilot unobstructed forward and upward vision, and greatly improved vision over the side and to the rear. The seat-back angle was expanded from the usual 13 degrees to 30 degrees, increasing pilot comfort and gravity force tolerance. The pilot has excellent flight control of the F-16 through its ""fly-by-wire"" system. Electrical wires relay commands, replacing the usual cables and linkage controls. For easy and accurate control of the aircraft during high G-force combat maneuvers, a side stick controller is used instead of the conventional center-mounted stick. Hand pressure on the side stick controller sends electrical signals to actuators of flight control surfaces such as ailerons and rudder.\r\n\r\nAvionics systems include a highly accurate enhanced global positioning and inertial navigation systems, or EGI, in which computers provide steering information to the pilot. The plane has UHF and VHF radios plus an instrument landing system. It also has a warning system and modular countermeasure pods to be used against airborne or surface electronic threats. The fuselage has space for additional avionics systems.\r\n\r\nThe F-16A, a single-seat model, first flew in December 1976. The first operational F-16A was delivered in January 1979 to the 388th Tactical Fighter Wing at Hill Air Force Base, Utah.\r\n\r\nThe F-16B, a two-seat model, has tandem cockpits that are about the same size as the one in the A model. Its bubble canopy extends to cover the second cockpit. To make room for the second cockpit, the forward fuselage fuel tank and avionics growth space were reduced. During training, the forward cockpit is used by a student pilot with an instructor pilot in the rear cockpit.\r\n\r\nAll F-16s delivered since November 1981 have built-in structural and wiring provisions and systems architecture that permit expansion of the multirole flexibility to perform precision strike, night attack and beyond-visual-range interception missions. This improvement program led to the F-16C and F-16D aircraft, which are the single- and two-place counterparts to the F-16A/B, and incorporate the latest cockpit control and display technology. All active units and many Air National Guard and Air Force Reserve units have converted to the F-16C/D.\r\n\r\nThe F-16 was built under an unusual agreement creating a consortium between the United States and four NATO countries: Belgium, Denmark, the Netherlands and Norway. These countries jointly produced with the United States an initial 348 F-16s for their air forces. Final airframe assembly lines were located in Belgium and the Netherlands. The consortium\'s F-16s are assembled from components manufactured in all five countries. Belgium also provides final assembly of the F100 engine used in the European F-16s. Recently, Portugal joined the consortium. The long-term benefits of this program will be technology transfer among the nations producing the F-16, and a common-use aircraft for NATO nations. This program increases the supply and availability of repair parts in Europe and improves the F-16\'s combat readiness.\r\n\r\nU.S. Air Force F-16 multirole fighters were deployed to the Persian Gulf in 1991 in support of Operation Desert Storm, where more sorties were flown than with any other aircraft. These fighters were used to attack airfields, military production facilities, Scud missiles sites and a variety of other targets.\r\n\r\nDuring Operation Allied Force, U.S. Air Force F-16 multirole fighters flew a variety of missions to include suppression of enemy air defense, offensive counter air, defensive counter air, close air support and forward air controller missions. Mission results were outstanding as these fighters destroyed radar sites, vehicles, tanks, MiGs and buildings.\r\n\r\nSince Sept. 11, 2001, the F-16 has been a major component of the combat forces committed to the war on terrorism flying thousands of sorties in support of operations Noble Eagle (Homeland Defense), Enduring Freedom in Afghanistan and Iraqi Freedom\r\n\r\nGeneral characteristics\r\nPrimary function: multirole fighter\r\nContractor: Lockheed Martin Corp.\r\nPower plant: F-16C/D: one Pratt and Whitney F100-PW-200/220/229 or General Electric F110-GE-100/129\r\nThrust: F-16C/D, 27,000 pounds\r\nWingspan: 32 feet, 8 inches (9.8 meters)\r\nLength: 49 feet, 5 inches (14.8 meters)\r\nHeight: 16 feet (4.8 meters)\r\nWeight: 19,700 pounds without fuel (8,936 kilograms)  \r\nMaximum takeoff weight: 37,500 pounds (16,875 kilograms)  \r\nFuel capacity: 7,000 pounds internal (3,175 kilograms); typical capacity, 12,000 pounds with two external tanks (5443 kilograms)\r\nPayload: two 2,000-pound bombs, two AIM-9, two AIM-120 and two 2400-pound external fuel tanks\r\nSpeed: 1,500 mph (Mach 2 at altitude)Range: more than 2,002 miles ferry range (1,740 nautical miles)\r\nCeiling: above 50,000 feet (15 kilometers)\r\nArmament: one M-61A1 20mm multibarrel cannon with 500 rounds; external stations can carry up to six air-to-air missiles, conventional air-to-air and air-to-surface munitions and electronic countermeasure pods\r\nCrew: F-16C, one; F-16D, one or two\r\nUnit cost: F-16A/B , $14.6 million (fiscal 98 constant dollars); F-16C/D,$18.8 million (fiscal 98 constant dollars)  \r\nInitial operating capability: F-16A, January 1979; F-16C/D Block 25-32, 1981;  F-16C/D Block 40-42, 1989; and F-16C/D Block 50-52, 1994\r\nInventory: total force, F-16C/D, 1017\n \n\nBut you might have knew that', 'this video is really serious but the moment when : ""math with a roblox predator !"" made me laugh so hard']"
2,1349,2_schlep_free_schlepfree_you,"['schlep', 'free', 'schlepfree', 'you', 'is', 'the', 'we', 'for', 'hero', 'thank']","['Free schlep', 'FREE SCHLEP', 'FREE SCHLEP']"
3,1098,3_video_keep_videos_your,"['video', 'keep', 'videos', 'your', 'up', 'good', 'work', 'job', 'watching', 'you']","['Such a W video bro keep it up!', 'I love how you took your time with this video. It felt like I was watching a movie with your amazing editing skills. Keep up the good work 👍', 'Keep up the good work']"
4,885,4_was_and_he_me,"['was', 'and', 'he', 'me', 'to', 'my', 'her', 'him', 'it', 'she']","[""What Schlep is doing is so so important. As a minor I have come across some creeps, now I did share my age because I was being stupid and immature, but these people knew my age and still asked weird things and told me things that definitely shouldn't be said in a kids' game. I have two times when these creeps interacted with me. The first one was on the game debate and I met this guy who I wanted to be friends with because I thought he was funny and I felt lonely, towards the end of our interaction he said he wanted to date and he wanted me to give him head....he was 19. The 2nd instance was on life together and this guy texted me and my friend on the texting aspect of the game and on there he asked us how many fingers we could fit and if we wanted to get freaky in real life. I wanted to lead this man on and so I continued to just talk to him and when I mentioned that we would most likely not be near each other he said we could FaceTime. He did tell me he was the same age as me but let's be honest he probably wasn't and now his account has been deleted."", 'Um. So this incident recently just happened. I met 2 people in a Roblox game and 1 was a boy and the other was a girl. We talked for a bit and they said their ages, 14 turning 15. The girl told the boy that they would look good together, he responded with lol. Which I kind of questioned, but I didn’t say anything. So we all added each other and made a group chat and that was it. Two days later, she told us that she had something to tell us and she said she was 22 years old. So me wanting to be a criminal prosecutor when I grow up, I went off on her. Then the boy private messaged me and told me that he couldn’t believe it. He didn’t know what to do and also that she told him other stuff as well. That same day we all met, but I had left early. So he said when I was gone, she said stuff like, he was cute, he made her blush, and that they would look good together. So I went back to the group chat and confronted her saying let’s hop on vc. She questioned it, but I told her wanting a clear explanation and answer isn’t weird. But she refused. Then she told us it was all a joke saying she saw it on social media, which I find funny because I never seen any video with someone pretending to be an older person talking to a minor as a joke. I told her that is not funny AT ALL and that kids are truly affected by this, and which the boy had told me in private message that he was traumatized. And the day after of meeting them, I heard her voice when she said hi and the first thing I thought of is that she sounded way older, but I didn’t question it at the time. I reported her three times already, but of course Roblox won’t do anything about it. (PLEASE SOMEONE READ THIS HER USER IS: Itsyagirltiti02) THANKS', 'Hi, so I went through something close to this about two years ago when I was 12, so I was on tiktok and someone followed me and  because I like to try and be nice i followed them back and he messaged me, at first it was innocent but then he asked me age and I said 12 and he then said ""oh well I\'m older"" when I asked his age he said 24 now you would think me as a 12 year old I would stop talking to him but I was still a little innocent and my survival instinct was and still is less than a deers but anyways he ask for my number and my dumb self actually gave it to him he also asked my name and I asked his he said his name but I\'m not sure I should say it I then proceed to send him a Pic of myself and he did the same I also gave him my school my mom\'s name age job but luckily I was smart enough to know not to give him my address now this is Jamaica but I grew up around people who mostly talk american so I did not understand what he meant when he said b**dy I thought he meant a dog it was not a dog so when he asked if I thought I could handle his b**dy I said yes luckily before he could do anything to me my mother stopped it last year he texted me but I just told him not to text me again and blocked him afterwards I thought I was in trouble so I called my mom and told her\n\n(If you think this is fake I don\'t blame you I still can\'t believe it happened either but it did also while I was talking to him a 11 year old texted me to join his Snapchat and I did  and someone in the group had a 13 year old friend that he introduced me to and this b!tch sent me a d!*k Pic as soon as I said hi he also tried to get me to send him a Pic so I sent him a Pic of me middle finger when I complained to the 24 year old he said ""at least he\'s in your age group"" when I told him it made me uncomfortable he said to block him and I think I did I forgot so yeah this happened to me when I was 12 innocent and naive)']"
5,634,5_predator_predators_catch_he,"['predator', 'predators', 'catch', 'he', 'if', 'chill', 'would', 'be', 'the', 'wasnt']","['Thank you schlep...that was my predator...', 'bro would be a chill guy if he wasnt a predator', 'Not you schlep the predator']"
6,583,6_cops_jail_mexican_black,"['cops', 'jail', 'mexican', 'black', 'prison', 'he', 'big', 'his', 'to', 'cop']","['“A big black guy chasing a Mexican guy, they probably already called the cops” lmao', 'Bruh "" a big black dude chasing a mexican guy they probably already called the cops""😂😂😂😂😂', 'A big black dude chasing a Mexican guy they probably already called the cops']"
7,564,7_disgusting_people_this_crazy,"['disgusting', 'people', 'this', 'crazy', 'is', 'these', 'sick', 'are', 'so', 'how']","['this is disgusting', 'this is disgusting 😭', 'This is so disgusting like how crazy are u']"
8,506,8_protecting_thank_for_you,"['protecting', 'thank', 'for', 'you', 'kids', 'thanks', 'us', 'safe', 'kid', 'children']","['Thank you for protecting me!', 'Thank you for protecting us kids!! ❤', 'Thank you for protecting kids']"
