Topic,Count,Name,Representation,Representative_Docs
-1,7088,-1_the_and_to_baba,"['the', 'and', 'to', 'baba', 'this', 'schlep', 'is', 'you', 'he', 'that']","[""I can't belive people are like this...\nLike God made us to be good to people but these guys are ruining their own life i quit Roblox officially srry this is to much and banning him nah Roblox is cooked minecraft is better than Roblox this is not appropriate for children's like 10-11 yrs or 12 however young they are Roblox need to unban schlep and u can make ur game regular because if u ban schelp permanently Roblox might be a game not for kids and not legal purposes May Lord forgive all of those guys but these are really bad people especially sending photos which are inappropriate hell nah he should be in jail forever i ain't kidding these type of people ruin their lives for no reason like enjoy ur life instead of doing this dawg\n:("", 'Your such a hero🎉 congratulations I feel like Roblox should have banned ALOT  of ppl but it just seems like they don’t even care for these children’s safety😢 like I don’t understand why they can’t even ban people “oh I’m so sorry we can’t ban this Predator even though he was trying to meet up with a young girl and sent disturbing pictures” it’s just so sad how Roblox cant provide a good Community for games like if they r going to make Roblox a dating app at this point ppl can’t STOP him.I hope everyone understands how serious, this is and how unsafe Roblox can be so just to be safe get another app that actually suits you and one that is safe because this is unacceptable.', 'Thank u for doing this and your friends help it is a shame on what Roblox responded to get him  ban I just looks like Roblox supports this and they claim “they  take kids safety first” or like “kids safety is first” and even with the poof it took a long time to get him ban it is disgusting and u should keep doing this and you are probably saving more kids when Roblox it is sad to see what they said yall are amazing ❤']"
0,2685,0_he_and_to_the,"['he', 'and', 'to', 'the', 'you', 'this', 'was', 'me', 'for', 'is']","['I kind of sort of caught a predator in natural disaster. He was forcing me to date him, and when I kept on refusing, he got his friend to join and tried to hook me and him up and the predator asked my name so I lied and said Roxy because that’s one of the names I go by and he doesn’t need to know my real name and he friended me and asked how old I was told him I was 13 but I’m really not and he said oh I’m 14 and I think his username was something like moldymilkman idk', 'Hey so I wanna give u a story so I find stuff like this very important that this happens (thé catching) as my self I used to catch lots of preds even tho Me myself am a you’re age I Js stopped cuz I kinda realized is was a bit too dangerous I’ll tell u why so I was catching this one pred right and this guy starts dropping the most disturbing pics of other ppl and bc of my you’re age I was kinda expecting it kinda bc it gapend a lot but stil I was still disturbed but that’s not the reason I stoped… the reason I stopped is bc I started catching dangerous coms or smt like that and me my self thought I rlly need to start focusing more on my study’s so I did that then I stopped for months I’m thinking on doing it again cuz I remembered saving some ones live I’ll tell u that story rn so I was on dollhouse on roblox on my fake acc to catch preds and 2 boys came up to me one “14” and the other “15” the guy who said he was “14” was actually 10…. The fact that Js made me feel sick is that the “15” yo boy was manipulating the 10 yo boy they were friends…? Met irl and his parents don’t know that (of the one that was 10) btw I’ll tel my age at the end so then the 15 yo boy said keep a eye on ur dm and me who was trolling said sure and that’s when it started he started flirting then me and my bsf 15 we confronted right cuz yeah we wanted the boy safe then the “15” yo boy sender pics to me of a girl who cvt on her 🐱 and thighs for him and he sensed the pics of it to me I thought what has this girl been going tru.. at the. End the boy is not friends with him anymore wel that’s what we think and I hope that is so if u want more story’s of that happened Js say it. Btw it’s not fake these things rlly happen and btw I’m a girl 12yo ik I’m rlly not at a age to do this but it’s okay if anything happens I’m prepared ❤', 'When I was 13, I was new to Discord and had no idea how it worked. I didn’t even know how I got into certain servers, they just kind of appeared, and I was clueless about how anything ran there. One of them ended up being some kind of ""for under 18 dating server"". I didn’t click on anything weird, but I do remember choosing roles, and one of them was “open DMs,” which basically let random people message me.\r\n\r\nOne day, a guy DMed me saying he was 18 and asked how old I was. He sent me a picture — ginger hair, wearing sunglasses. I sent him one too, but it only showed half of my face. Then he said, “You’re too f*king hot for 13,” and that he was going to do stuff with my photo. I told him, “Idk why, but I’m starting to feel uncomfortable now, sorry.” He replied saying “My phone is sticky” and “You did this to me.” I messaged my friend right away, and they told me to block him. Before I did, he kept saying more gross stuff like “It’s still coming out tf.” I finally blocked him, but I accidentally reopened the chat, and he saw the typing bubble. Then he goes, “Are you ok with me slitting my wrist?”\r\n\r\nThankfully, I listened to my friend. They told me to copy and paste this to shut him up “Dude stop, I’m not tryna get with yo ugly chubby ginger lookin ass.” \n\nI also reported him to the server admin, and he got banned. I trusted my gut, and I’m lucky I got away from that. I really hope he hasn’t done that to anyone else since.']"
1,2440,1_the_is_he_that,"['the', 'is', 'he', 'that', 'bro', 'pfp', 'was', 'his', 'shirt', 'what']","['who was the guy in the pfp?', 'Who is the guy in his pfp?', 'What was the name of the guy in his pfp and why is he bad?']"
2,2115,2_roblox_to_is_and,"['roblox', 'to', 'is', 'and', 'you', 'for', 'banned', 'the', 'this', 'of']","['The Roblox saying “your safety is NOT our problem” is so true!! Millions of kids get abused from predators on Roblox and they do nothing about it. When a awsome dude (schlep) stands up and says something about it Roblox’s response is to BAN HIM INSTEAD!!! On these videos schelp says how long and hard it is to get the predators banned but when it’s a person who looks after the kids the account gets deleted in 0.2 seconds. Disgusting.', 'Schlep I feel bad that roblox banned you from roblox', '🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕 This is for Roblox']"
3,1598,3_intro_the_music_is,"['intro', 'the', 'music', 'is', 'this', 'editing', 'voice', 'video', 'stardew', 'fire']","['Love the intro 😼 its a w intro 😼😼😼😼😼😼', 'intro music is fire', 'WHY IS THE INTRO SO FIRE?!?!!']"
4,1296,4_free_sclepp_schlep_schelp,"['free', 'sclepp', 'schlep', 'schelp', 'shlep', 'you', 'the', 'freeschlep', 'is', 'hero']","['FREE SCHLEP', 'FREE SCHLEP', 'FREE SCHLEP']"
5,594,5_fresno_live_in_burrito,"['fresno', 'live', 'in', 'burrito', 'madera', 'california', 'mexican', 'this', 'black', 'my']","['bro I live in Fresno 😭🥀🥀', 'Bro i live in fresno….😰😰😰', 'I live in Fresno California to ... 💀😨😰']"
6,518,6_jidion_pred_the_and,"['jidion', 'pred', 'the', 'and', 'is', 'he', 'to', 'like', 'this', 'him']","['W JiDion', 'W JIDION', 'JiDion']"
7,408,7_decoy_13_the_age,"['decoy', '13', 'the', 'age', 'she', 'old', 'is', 'why', 'censor', 'was']","['For a 13 year old girl ( I’m not 13) why did she say it’s hot!!!!!!', 'why do you censor the age of the decoy?', 'How of is the decoy']"
8,120,8_ww_edit_mans_cinema,"['ww', 'edit', 'mans', 'cinema', 'absolute', 'shish', 'wlel', 'wowowowowowowowowoowowowowowoowowoowowowowowowowowowowowowowowowoowowowowowowowowowowowowowwowoowwowowowowoowwowowoowowowowowwoowwoowowowowowowowowow0owowwoowow', 'dmeri', 'wsg']","['not 3 as wlel and ow 2 an dmeri', 'WW', 'WW MANS']"
