Topic,Count,Name,Representation,Representative_Docs
-1,5740,-1_and_the_to_this,"['and', 'the', 'to', 'this', 'you', 'is', 'he', 'that', 'of', 'roblox']","['I rly rly want to thank you for ppl like u. Js yesterday I thought I was talking to a normal boy I met on a Roblox game. He said he was the same age as me, and we had abt 3 discord calls. We were close friends, but turns out he was gaslighting me. He end up sending pics of himself, and I felt extremely unsafe, until he told me to do the freaky with me, and threatened me if I didn’t give him my pics. That day, i met a pedo Hunter on a game, and I asked him to help me. The other day he got arrested thanks to the pedo Hunter and I could’ve been more thankful. The pedo ended up being a 27 year old man.', 'Hey schlep! I was wondering if you team up with Roblox ppl are making fun of me for being poor. And I saw online daters and disgusting predators pls u can sue Roblox for being unsafe and bad I got banned for  telling them not to do stuff and weirdos and Roblox banned me for no reason I just wanted to explore a game and saw a lot of online dater never going to play the Roblox game ever again', ""This is the first time I've seen your video(s). At first first I was disappointed that you were just wanting to chat with the perv but then the police showed up and.... Well played! \n What really impressed me was seeing mature alpha males who care enough to act as protectors! The desperate pedo acts too immature for women his age and can't handle their rejection, or.... his hand apparently,  and so that justified his desire to violate kids. Ridiculous!\nFor the ones going after the pedos, and all the other strong men out there, I  appreciate the content of your character  and the heart and courage you possess.  It shows when you help and protect the young, vulnerable, or weak. What you are doing is not only meaningful but will have a lasting impact.\nThe, USA, is the global leader in kidnappings with approx 1 million children taken per year (most are sex trafficked). There's approx 60 million children sexually abused in this country - that's 1 in 4! There's an even higher rate than that of physical, emotional abuse and/or neglect. Abuse, violence, is perpetual. That's until we stop the cycle.""]"
0,3389,0_the_intro_is_jidion,"['the', 'intro', 'is', 'jidion', 'this', 'music', 'that', 'bro', 'to', 'was']","['the intro was fire', 'why is the intro so sick', 'Not the gubby in the intro 😭🙏']"
1,3386,1_roblox_and_to_the,"['roblox', 'and', 'to', 'the', 'you', 'is', 'for', 'this', 'of', 'was']","['When I was 13, I was new to Discord and had no idea how it worked. I didn’t even know how I got into certain servers, they just kind of appeared, and I was clueless about how anything ran there. One of them ended up being some kind of ""for under 18 dating server"". I didn’t click on anything weird, but I do remember choosing roles, and one of them was “open DMs,” which basically let random people message me.\r\n\r\nOne day, a guy DMed me saying he was 18 and asked how old I was. He sent me a picture — ginger hair, wearing sunglasses. I sent him one too, but it only showed half of my face. Then he said, “You’re too f*king hot for 13,” and that he was going to do stuff with my photo. I told him, “Idk why, but I’m starting to feel uncomfortable now, sorry.” He replied saying “My phone is sticky” and “You did this to me.” I messaged my friend right away, and they told me to block him. Before I did, he kept saying more gross stuff like “It’s still coming out tf.” I finally blocked him, but I accidentally reopened the chat, and he saw the typing bubble. Then he goes, “Are you ok with me slitting my wrist?”\r\n\r\nThankfully, I listened to my friend. They told me to copy and paste this to shut him up “Dude stop, I’m not tryna get with yo ugly chubby ginger lookin ass.” \n\nI also reported him to the server admin, and he got banned. I trusted my gut, and I’m lucky I got away from that. I really hope he hasn’t done that to anyone else since.', 'hi schelp. i just wanna say, i have a story for u.\n\nso i was 9. and theres a guy who was 16. 7 years age difference.\nnot to long ago , in years . dont say my age pls or try guess.\nbut anyway we met in brookhaven. and i was naive. andrew (the 16 year old) was actually a predator…\nnow , we met and his group of friends were saying “heyy!” and getting all weird.\ni brushed it off while all my other friends were away and andrew joined me. he was being all gross .its predictable he was gonna 🍇 me and try find my school , age and location and face. and he had found my age due to me talking with my friend and she/him (im not gonna say gender). but he was roleplaying then he started to tell me , take ur clothes off to make me online date. i refused until he started to harass me and threatened to tell everyone in his group my age and to make me a target. 2 of them (andrew and his friend (i forgot his name) and they started to fight over me and both of them tried to harass me and find my location to give them hints , like my country. part of the country. after this i started to get suspicious. how he always joined me and tried to still get my face. i tried to avoid him , block him and he made SO MANY ALTS to try get my face. he was saying stuff like “DONT LEAVE ME.” and “I’LL FIND U” kinda like coralines mother 😭- but anyway the other guy role-played  and tried to win me over. u would think is it over? , no it is not because he started to get worse. (PART 2 SOON AT 5 likes)', 'I lowk thought this was a pred/pedo i had to deal with, I\'m 13 and he\'s around his 20\'s or so, his user is Steve_Bloks, luckily he\'s banned but i will tell u the entire story about him... So on my account Scout4L1F3 which is banned for now because of him, I decided to play a little bit of ""Warm Isolation"" it was fun and stuff, i was using my soundboard js for a lil bit of trolling and that\'s when Steve_Bloks came in, his display was ""Lua"" for some reason, idk, but his avatar was very feminine, IDK, but anyways, he said i was the only normal one, yk for chats, hanging out, ETC, we played for a while having fun and stuff until when he turned on his mic, and it was bad, now I\'m not trying to be racist or anything, but he sounded Indian and in his 20\'s now this made me feel like he was one of ""those"" pedos, because in the game, there are custom books you can get to have a title on it, the title for his book was ""r34"" or ""femboys"" this made me feel icky a lot, so I """"DISCONNECTED"""" and joined  dif server, and he started chatting me telling me to join back all in some feminy way, anyways, I rejoin, and I heard his full voice, and it was bad, after that, I blocked him, unfriended him, and never tried to go back to his account ever again. Luckily like I did say though he did get banned or js deleted his account but let me tell you something that you should look out for. Make sure when you talk to someone, examine the avatar and the actual name for the account, not the display, but actual, this is so that you know who you are talking to and to make sure you don\'t get fooled, sometimes it wont really work, but its the best option, make sure that it looks like they aren\'t trying to sweet talk you like by acting friendly or anything, this could often lead to you joining them in priv servers, and lastly, badges or creations, looking at the badges they have can tell you about the personality they have, it makes it so you know damn well who you are actually talking to, that\'s all I really know, hope this story can help you or anything like that. Stay safe out their Robloxians. -VintageDustSpeacks']"
2,2895,2_schlep_free_baba_sclepp,"['schlep', 'free', 'baba', 'sclepp', 'you', 'the', 'hero', 'is', 'schelp', 'shirt']","['FREE SCHLEP', 'Free schlep', 'FREE SCHLEP🗣🗣']"
3,2205,3_he_the_is_his,"['he', 'the', 'is', 'his', 'to', 'this', 'like', 'that', 'and', 'guy']","['Who is that in the pfp', 'who is his pfp on discord who is that guy', 'his so voice is so good but he has to be arrested.']"
4,552,4_decoy_13_the_age,"['decoy', '13', 'the', 'age', 'sophie', 'is', 'old', 'she', 'was', 'why']","['why is the  age of the decoy censored?', 'why do you censor the age of the decoy?', 'Decoy age 13']"
5,448,5_fresno_live_california_in,"['fresno', 'live', 'california', 'in', 'madera', 'now', 'like', 'my', 'town', 'from']","['I live in Fresno California.... WTF', 'I live in fresno california.........', 'I LIVE IN FRESNO CALIFORNIA WHAT THE....']"
6,178,6_burrito_mexican_chasing_black,"['burrito', 'mexican', 'chasing', 'black', 'big', 'que', 'guy', 'latinochrome', 'they', 'called']","['Burrito 💀', '""I know they call you burrito, but like this is the burrito right here"" 😭😭😭😭😭😭', '""i know they call you burrito but this is the burrito right here"" 💀💀']"
7,54,7_ts_nepali_nga_ngl,"['ts', 'nepali', 'nga', 'ngl', 'nepaliincel', 'is', '3528', '3527', 'tuff', 'nepal']","['ts crazy', 'Ts disgusting', 'ts is disgusting']"
8,15,8_2025_2026_in_whos,"['2025', '2026', 'in', 'whos', 'here', 'who', 'pedo', 'dystopia', 'planche', 'february']","['2025: pedo\n2026:  pedo gay', 'Who is watching in 2025 👇🏻', 'Whos here in 2025']"
