Topic,Count,Name,Representation,Representative_Docs
-1,6160,-1_the_and_to_this,"['the', 'and', 'to', 'this', 'you', 'is', 'that', 'of', 'he', 'for']","['I’m so glad you did this stuff, roblox should never have banned you. I know some people who have been rapped as kids, and when I was like 7-9 years old I almost got groomed I think and the messages someone was private chatting me scared me so badly I started full on crying and basically broke down in front of my parents. I said in chat bits of what they were private chatting me and I reported them and might’ve gotten them banned. They threatened to rape me and I’m still scared when people mention rape after that\nEdit: Oh also one of those friends of mine who have been raped before was only like I think 5 when she got rapped. Her own COUSIN who was I think 12 at the time did it and forced her into a relationship at the time, but I don’t know if she knew that it was bad to do that.', '29:00 wait can someone tell me what the heck this pred just said? I can\'t hear properly, and its very hard for me to make out what he said\r\n\r\nAlso, can someone please take the time to tell me whats wrong with this disturbing man\'s profile picture? I mean, there\'s nothing wrong with it, and idk who the old ahh looking guy in the pfp is, cause he looks pretty important (idk who his profile picture, as am not from the US, sooo i don\'t know who those 2 other guys who were shown at 10:07. I knew who Jeffrey Dahmer was tho, sick f**k).\r\n\r\n\r\nNow, im going to share something that you ALL need to hear (ignore the first part, i wrote it beforehand;\r\n\r\n\r\nAnd also, Schlep, if by any chance you see this, please don\'t call the police or any law enforcement on me, im an innocent guy, and i HATE seeing what depraved actions these predators are doing to these innocent children. Im just sharing what i would do if i had power.\r\n\r\nTRIGGER ALERT ⚠ FOR BEYOND THIS POINT. \r\n\r\nbruh, the fact that at the start of the vid when the pred was being introduced, it only took *10 MESSAGES* for him to say those depraved things. I cannot believe that people like *him* are ALLOWED TO ROAM THIS PLANET. Believe me when i say this, if i was the POTUS (President Of The United States, for anyone who didn\'t know) every pred that is being held in every US jail and prison would be executed on the spot. Im talking firing squads, guillotine executions, the whole 9 yards. \r\n\r\nIt SICKENS me to think that right now, a pred might be getting arrested, but Roblox is not doing anything about it, not even banning most of these pred\'s accounts. Like, just yesterday, i joined one of my favorite Roblox games, Project Viltrumites, and when i joined, i looked in chat and SAW A PRED TALKING TO AN UNDER AGED GIRL. I can\'t remember the username or what he said, but he was talking to a girl, who had the number ""16"" in front of their username, which probably means that this individual was most likely born in 2016 (which would make her probably make her abt 9 YEARS OLD in 2025, but idk). And this guy was literally planning something. I reported him, but i doubt Roblox will do anything about it. Again, if anyone or Shlep reads this entire comment, please keep in mind that i am sharing my views on this whole Roblox Condo community ordeal, so please don\'t call the FBI on me or anything, like that guy who was literally caught planning a terrorist attack in Grow a Garden or some other game\r\n\r\nIn addition, regarding Roblox\'s very bad customer service, they should really learn from Steam, as they have the best customer service in any gaming platform, and Valve corporation only has like, 300 to 400 employees (i might be wrong about that). In addition, Roblox should have their own team who monitors reports about explicit behavior on the platform, and should work with heroes like you (Schlep), JiDion and the police force to help take down the Roblox Condo community and servers which are being operated by these sick and twisted beings.\r\n\r\nThis is the last thing i wanna say to you Schlep, and thats the picture being sent by the predator at 03:35. What does the picture show? I mean, i know you said that its an ""explicit photo of himself"", but what does that mean? OH GOD, is the photo of the preds Shlong, if you catch what i mean. If so, that is effing DISGUSTING. Schlep, if you can, can you take the time out of your day to answer all my questions? I mean, you don\'t have to, but if you can, try \n\n:)', ""If you’ve ever wondered how Roblox even became a billion dollar company, just ask the millions of innocent people they took money from after deleting their accounts for no valid reason. You should see this one guy’s followers list; I witnessed as they kept banning many innocent people. Half of the players I know on Roblox are now deleted. I saw a whole list of 500 people wiped out.\r\n\r\nA 10 year old Roblox account got deleted in 2021 for being “toxic,” and Roblox didn’t even give the owner a warning. That’s really a wild ban, because most of you who play Roblox know that everyone on Roblox is toxic to some degree. A great amount of people who play Roblox are guaranteed to be toxic. Roblox hides the fact that they do not care about the issues that really matter, they do not tolerate any form of bullying or toxic behavior now. This all started because of one incident where a kid was bullied online and the parents sued roblox for it.\r\n\r\nRoblox is fed up with everything. They now have the power to do anything they want on this platform. They can drop the most terrible update imaginable, and it still wouldn’t stop people from playing. I’m sure there are a lot of people who aren’t happy about what’s really happening on Roblox right now. The platform has seriously gone downhill, and no one is doing anything to fix the problem.\r\n\r\nWe already know the CEO of Roblox needs to retire. At this point he is just another problem and he is too old to be running a gaming platform and only making things worse. The image he created years ago has faded, and now that he’s older, his main goal is just to profit as much as possible off the platform. He doesn’t really care about what players want, because for him it all comes down to money. The people on the platform are no better, with my 13 years of experience, I have watched as most of the people on Roblox also only care about profit and they won't stop at nothing to gain profit on Roblox. I have footage of being scammed by a Roblox developer, I have many other footage that I collected over the years, with my so called social experiments, where I would test the players ability to not scam. I have been scammed way too many times to count, and I filmed most of the people who scammed me. It's crazy to think that many other scammers on Roblox are getting out of control. Roblox refuses to give an account back to the rightful owner of the account after It's been sold. That new policy now restricts people who created the accounts they made originally and makes it so they cannot ever get the account back. The CEO of Roblox, on the other hand, is too old to be running a gaming platform, and he’s turned it into something else entirely.""]"
0,3725,0_the_is_intro_jidion,"['the', 'is', 'intro', 'jidion', 'this', 'that', 'to', 'bro', 'was', 'music']","['THE INTRO', 'Not the gubby in the intro 😭🙏', 'The intro is so fire']"
1,3088,1_schlep_baba_free_you,"['schlep', 'baba', 'free', 'you', 'the', 'for', 'is', 'hero', 'thank', 'schelp']","['free schlep', 'FREE SCHLEP!!!!!!', 'FREE SCHLEP']"
2,3066,2_he_and_to_the,"['he', 'and', 'to', 'the', 'was', 'is', 'this', 'that', 'me', 'like']","['I never told this to anyone but my parents and you lol but anyways when I was 10 (I’m 13 rn so 3 yrs ago) i was js watching a video and they went onto TINDER and there I went I downloaded it singed up and then i was seeing guys which I liked (I was stupid and I know I shouldnt have done it) then they asked my snap and then he sended a 🍆 pic and then i sent back and that went back and forth and after a while he wanted to meet up ( he lived on the other Side of the Netherlands ) But I didn’t want too cus he wanted to have ### But after a while I told my parents cus he started to go way too far but now he’s caught and he’s going to court and ive learned my lessen and i prob would have slapped younger me so that’s it I’m out and it’s good that yall are doing this🎉🎉', 'I was a victim around the age 12 until the age of 13 with a manipulator my age, I\'m not sure if he rlly is but he used me and manipulated me basically, so this recovers my trauma of when I had to send photos and videos and stuff basically inappropriate ones, because he said he\'ll do stuff I didn\'t want him to do, like leave me because I felt ""useless"" at that time because I was mentally unstable.. And i was in a toxic and abusive relationship with him then he broke up with me, also yes it was on discord.. I didn\'t know at that time what kind of people we\'re on the internet, and i didn\'t understand why discord was only for 13 year old ppl, so don\'t attack me for it, cause at the time i was too innocent and didn\'t understand why i couldn\'t be on discord so i stayed until i turned 13, so i was only there out of curiosity.., and i was a victim of more stuff with other guys so i thought that way guys would love me so.. And all of what stuck with me as a trauma and i get worries and stuff. But definitely the tos saw that etc, but idk anything and never been told anything ever since, so i\'m good..\n\n(Just to clarify he sent explicit stuff first, then i was pressured to do so by him). This was like two years ago -', 'Okay so I have a story that something happened to me, ever since I was little (around 4) I always got graped by my male cousin. The issue was I was too scared to let anyone know because he’d say “I’ll hurt your siblings if you tell anyone” and until I was 16 my parents finally found out he was constantly graping me under my parents roof I cried so so much because of the pain he caused my body to go through I was so terrified I couldn’t even leave my room because he’d be there I was honestly to scared to tell my parents that he was graping me from 4 all the way up to 16…I am 20 now and I am still currently getting treatment for my body because I cannot have sexual contact if I was in a relationship without crying or bleeding.\nYes there was a police report but I was too scared to continue with it because of how crazy my cousins side of the family is…..so please understand you’re not alone you have to tell your parents if something like this is happening to you because if you don’t it will ruin you physically and mentally for the rest of your life I still have nightmares till this very day…\n\nRemember to all the survivors of SA you are loved and not alone and raise your voice and make sure you’re heard ❤']"
3,2046,3_roblox_is_to_and,"['roblox', 'is', 'to', 'and', 'you', 'the', 'for', 'this', 'banned', 'of']","['Roblox is trying to sue a man keeping kids safe on Roblox. That’s basically Roblox saying “we don’t need you to catch predators it’s not that important and stop doing our job better than us. Dude. Like schlep is doing you a favor Roblox!. Lock the heck in. Like since this guy got served I genuinely don’t play Roblox anymore because I’m scared of people like this. Schlep on Roblox gave me a sense of comfort knowing someone is trying to catch predators but Bri Roblox just ripped him apart and is trying to make themselves look good. Thank you schlep. Don’t let this discourage you.', ""Why are you trying to ban schelp Roblox he's keeping Roblox safe and Roblox doesn't l8,e that I'm saying bye to Roblox"", 'This is so stupid of roblox tbh..roblox ban u BUT not the PREDATORS ON ROBLOX DOING THIS SHIT']"
4,385,4_fresno_live_california_in,"['fresno', 'live', 'california', 'in', 'madera', 'now', 'like', 'from', 'my', 'town']","['I live in Fresno', 'I live in fresno', 'I live in fresno california.........']"
5,185,5_decoy_the_age_censor,"['decoy', 'the', 'age', 'censor', 'why', 'ages', 'decoys', 'to', 'of', 'you']","['Why do they censor the age of the decoy? Is freaking annoying', 'why do you censor the age of the decoy?', 'Quick question why do you censor the age of the decoy']"
6,177,6_burrito_mexican_chasing_black,"['burrito', 'mexican', 'chasing', 'black', 'big', 'que', 'latinochrome', 'guy', 'called', 'they']","['Burrito 😅😂', '""i know they call you burrito but this is the burrito right here"" 💀💀', '""I know they call you burrito, but like this is the burrito right here"" 😭😭😭😭😭😭']"
7,15,7_2025_2026_in_whos,"['2025', '2026', 'in', 'whos', 'here', 'who', 'pedo', 'dystopia', 'planche', 'february']","['2025: pedo\n2026:  pedo gay', 'Who is watching in 2025 👇🏻', 'Whos here in 2025']"
8,15,8_nepali_nepaliincel_3528_3527,"['nepali', 'nepaliincel', '3528', '3527', 'nepal', 'dude', 'swear', 'im', 'did', 'omg']","[""Wtf Nepali incel ahhell nawh I'm Nepali 35:27"", ""35:28    as a Nepali. I apologise for this guy's actions and that he's no longer a Nepali"", 'Wait if that acc name said nepali shouldn’t they have 1000 gods and beaver do anything bad i only know bc my family is Nepali']"
