comment_id,video_id,author,text,like_count,published_at,updated_at,reply_count
Ugz6MXuklIUkJGDTlap4AaABAg,HeWFEeeUn00,@alyssarichardson2544,"6:59  he can't even use the ephebophile defense - they straight up asked him if he was interested in pre-pubescent children or teenagers, he chose the former 🤮 it was TOTAL BS when he was saying ""girls close to my age"" - like he's 18, an age gap of 3 years or less is harmless! My first gf was 14, I was 17, I was her 3rd-5th depending on what you count as sex, I was a virgin who'd never even kissed a girl before her. She had DD sized breasts and wasn't fat, any 17 year old would TOTALY have done the same. *This is NOT that.  He was offered teens, he said ""no, I want KIDS"" - he got off on young children being victimised...* He needs a sentence of ""from now on"".

Her parents sabotaged the relationship, I was good to her and she was good to me, we truly loved eachother... I don't have anything negative to say about her. We spoke about it ~12 years later and she never looked back at it as me taking advantage of her.",0,2026-06-22T15:06:27Z,2026-06-22T15:06:27Z,0
UgxnzCxxhk7HlnXz_fd4AaABAg,HeWFEeeUn00,@এAmberএ,Anyone heard about Jackson Nobel going from catching pedophiles to stalking an the r word then kills them why are their woman flirting an giving him mad validation on tiktok an Facebook telling him he could do it to them not thinking if older woman aren't enough because they throw themselves im afraid he's a predator i call him a child predator he liked my comment from a different account that had his name an said message me i didn't how come people who make a famous films go from stable to mentally unstable,0,2026-06-22T13:35:16Z,2026-06-22T13:35:16Z,0
UgxHcg3GqPqfXkuqjjd4AaABAg,HeWFEeeUn00,@TheEpicrippers77,That thumbnail scared me,1,2026-06-22T13:05:22Z,2026-06-22T13:05:22Z,0
UgwudWxr03Hl6I_Msx94AaABAg,HeWFEeeUn00,@RayHanson-j5t,When you put this is evil in the title and it might be just me but you look disappointed in the thumbnail and the way it's worded and presented to me at least makes it seem like you're presenting moist critical and a light where he believes that catching predators is evil I'm not being a Karen or nothing it just looks like it's coming across that way and if anyone reads my comment feel free to correct me I don't want to come across as an asshole,0,2026-06-19T10:30:21Z,2026-06-19T10:31:07Z,0
UgygD6dfINWtUlHto7B4AaABAg,HeWFEeeUn00,@Curly_Config,'now whatever tf ur name is i dont think ur a bad guy',0,2026-06-19T02:26:19Z,2026-06-19T02:26:19Z,0
Ugynkgnz9_JpFJ2V5CB4AaABAg,HeWFEeeUn00,@snmczzi,loving this crossover,0,2026-06-19T01:38:33Z,2026-06-19T01:38:33Z,0
Ugz1wk3Wt0AS921o9aZ4AaABAg,HeWFEeeUn00,@Dallascmiller_99,Aint that the yeah baby guy,0,2026-06-14T23:56:57Z,2026-06-14T23:56:57Z,0
Ugz_TsueVnEMibzI8UZ4AaABAg,HeWFEeeUn00,@Froggerchitho,SO GLAD it's not drama. I was like NOOO both of my GOATS boutta start beefing.,0,2026-06-14T22:27:28Z,2026-06-14T22:27:28Z,0
UgyR-319wI8GrXXOS4d4AaABAg,HeWFEeeUn00,@idahopotatoman,Charlie tuff aš a guy named charlie,1,2026-06-13T12:29:31Z,2026-06-13T12:29:31Z,0
Ugx6jDA8vO2fKRubrzJ4AaABAg,HeWFEeeUn00,@cronoscoin417,"I wonder if AI will eventually be able to help us prevent this by seeing patterns and or structural deviations in the brain that would indicate the type of person who does this. So we can then separate them from society and get them help. Great that you’re catching them, but by that time it’s too late. If we could prevent it from happening in the first place then we’re going to be making some good progress 👌🏽",0,2026-06-10T15:55:55Z,2026-06-10T15:55:55Z,0
